ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,01:25:40.0288685,-24.2451,-46.2089,0.0,1,-13.6,0.205
20230218,01:25:50.4397117,-21.2372,-46.5222,8.8,2,-13.2,0.032
20230218,01:27:16.2703640,-21.4709,-46.4542,0.0,1,-15.6,0.284
20230218,01:27:16.2711243,-21.4694,-46.4526,0.0,1,-19.5,0.277
20230218,01:27:16.2720413,-21.4626,-46.446,4.9,2,8.9,0.161
20230218,01:27:44.5796303,-20.6634,-45.7215,0.0,1,-51.7,0.658
20230218,01:27:44.6069155,-20.6614,-45.7296,0.0,1,10.9,0.505
20230218,01:27:44.6354266,-20.6741,-45.7006,0.0,1,-15.5,0.551
20230218,01:28:02.9942826,-21.3272,-46.5184,0.0,1,-9.6,0.659
20230218,01:28:03.1439848,-21.3086,-46.5169,11.5,2,-8.6,0.271
20230218,01:28:47.5065216,-20.5068,-45.72,0.0,1,-13.2,1.156
20230218,01:28:47.5073272,-20.3301,-45.6718,0.0,1,-15.6,1.968
20230218,01:28:56.5098343,-21.2211,-45.8974,0.0,1,-12.7,0.674
20230218,01:29:16.3683458,-21.2355,-46.3646,0.0,1,-6.5,1.0
20230218,01:29:41.2296866,-21.4709,-46.3072,0.0,1,-13.6,0.325
20230218,01:29:41.2378165,-21.4747,-46.3072,0.0,1,10.5,0.122
20230218,01:29:46.5948330,-21.4779,-46.4496,0.0,1,-7.8,0.224
20230218,01:29:46.5954570,-21.4962,-46.4472,0.0,1,-19.0,0.345
20230218,01:30:06.7016240,-21.147,-45.8629,0.0,1,9.9,0.126
20230218,01:30:06.7052374,-21.1516,-45.865,0.0,1,15.9,0.416
20230218,01:30:10.9221636,-21.2895,-46.4969,0.0,1,-13.3,0.462
20230218,01:30:10.9227229,-21.2935,-46.4997,0.0,1,-15.0,0.582
20230218,01:30:10.9238104,-21.2892,-46.4963,0.0,1,-10.7,0.331
20230218,01:30:10.9350432,-21.2823,-46.4914,0.0,1,11.2,0.335
20230218,01:31:05.2631181,-21.2939,-46.3528,6.2,2,8.8,0.134
20230218,01:31:31.0789563,-21.3124,-46.3283,0.0,1,-36.5,0.36
20230218,01:31:48.5322454,-21.4877,-46.4792,5.2,2,-7.9,0.172
